date,symbol,action,price,quantity,reason,pnl
2024-03-15 04:00:00+00:00,MSFT,BUY,416.52,4,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-04-19 04:00:00+00:00,MSFT,SELL,399.53239594846514,4,Stop Loss,-67.95041620613938
2024-04-29 04:00:00+00:00,TSLA,BUY,194.08,10,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-05-02 04:00:00+00:00,AAPL,BUY,173.13,11,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-05-06 04:00:00+00:00,NVDA,BUY,921.41,2,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-05-08 04:00:00+00:00,TSLA,SELL,170.31703574474963,10,Stop Loss,-237.6296425525038
2024-05-14 04:00:00+00:00,AAPL,SELL,187.67470885682215,11,Take Profit,159.9917974250437
2024-05-14 04:00:00+00:00,MSFT,BUY,416.42,4,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-05-16 04:00:00+00:00,TSLA,BUY,174.86,11,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-05-23 04:00:00+00:00,AAPL,BUY,186.91,10,Positive Sentiment + RSI Dip + Uptrend + MACD Bullish,
2024-05-28 04:00:00+00:00,NVDA,SELL,1076.8653871392644,2,Take Profit,310.91077427852883
